 : 72327800 (18.74%)
E: 37047647 (9.60%)
T: 27083970 (7.02%)
A: 23944887 (6.21%)
O: 22536157 (5.84%)
I: 20133224 (5.22%)
N: 20088720 (5.21%)
H: 18774883 (4.87%)
S: 18415648 (4.77%)
R: 17103717 (4.43%)
D: 13580739 (3.52%)
L: 12350767 (3.20%)
U: 8682289 (2.25%)
M: 7496355 (1.94%)
C: 7248810 (1.88%)
W: 7022120 (1.82%)
G: 6396495 (1.66%)
F: 6262477 (1.62%)
Y: 6005496 (1.56%)
P: 5065887 (1.31%)
,: 4784859 (1.24%)
.: 4680323 (1.21%)
B: 4594147 (1.19%)
K: 2853307 (0.74%)
V: 2745322 (0.71%)
": 2566376 (0.67%)
': 1699273 (0.44%)
-: 1000071 (0.26%)
?: 469889 (0.12%)
X: 454572 (0.12%)
J: 448397 (0.12%)
;: 311385 (0.08%)
!: 300580 (0.08%)
Q: 275136 (0.07%)
Z: 268771 (0.07%)
:: 96752 (0.03%)
1: 63148 (0.02%)
—: 57781 (0.01%)
0: 40105 (0.01%)
): 38729 (0.01%)
*: 38475 (0.01%)
(: 38220 (0.01%)
2: 36981 (0.01%)
’: 36692 (0.01%)
`: 36256 (0.01%)
“: 31829 (0.01%)
”: 30629 (0.01%)
3: 25790 (0.01%)
9: 24985 (0.01%)
5: 21865 (0.01%)
4: 21181 (0.01%)
8: 18853 (0.00%)
7: 17124 (0.00%)
6: 17007 (0.00%)
/: 16757 (0.00%)
_: 11605 (0.00%)
[: 11568 (0.00%)
»: 11551 (0.00%)
]: 11535 (0.00%)
«: 11187 (0.00%)
=: 9899 (0.00%)
´: 8807 (0.00%)
 : 5326 (0.00%)
>: 4507 (0.00%)
~: 4067 (0.00%)
<: 3995 (0.00%)
#: 3170 (0.00%)
·: 2793 (0.00%)
‘: 2760 (0.00%)
&: 2690 (0.00%)
{: 2258 (0.00%)
}: 2142 (0.00%)
•: 2055 (0.00%)
^: 1712 (0.00%)
|: 1512 (0.00%)
\: 1366 (0.00%)
@: 1354 (0.00%)
%: 1165 (0.00%)
$: 1050 (0.00%)
Ñ: 1005 (0.00%)
